date,new_cases
2020-08-09,83286.33333333333
2020-08-10,78365.0
2020-08-11,78955.66666666667
2020-08-12,84502.0
2020-08-13,87632.66666666667
2020-08-14,94112.66666666667
2020-08-15,92209.66666666667
2020-08-16,83458.66666666667
2020-08-17,73380.0
2020-08-18,71548.66666666667
2020-08-19,77421.66666666667
2020-08-20,81664.66666666667
2020-08-21,87147.66666666667
2020-08-22,85049.33333333333
2020-08-23,77446.33333333333
2020-08-24,73241.66666666667
2020-08-25,73393.66666666667
2020-08-26,79054.0
2020-08-27,85066.0
2020-08-28,90227.66666666667
2020-08-29,89790.0
2020-08-30,78502.66666666667
2020-08-31,75696.0
2020-09-01,77301.0
2020-09-02,84774.66666666667
2020-09-03,87455.33333333333
2020-09-04,93794.0
2020-09-05,93593.33333333333
2020-09-06,84225.33333333333
