date,negative_count,negative_avg,positive_count,positive_avg,neutral_count,neutral_avg
2020-05-17,1119193,0.47902785,178960,0.0772163684583333,1030086,0.443755781458333
2020-05-18,1127237,0.4494231185,186919,0.0752694985416667,1180272,0.475307383
2020-05-19,1112594,0.458291531375,189823,0.078311735125,1127077,0.463396733666667
2020-05-20,1129791,0.468351731875,197151,0.0824139395,1073284,0.449234328583333
2020-05-21,1085796,0.457530822666667,183519,0.0776637133333333,1101681,0.464805463958333
2020-05-22,963732,0.440515959041667,187626,0.08615964925,1031279,0.473324391916667
2020-05-23,988809,0.461798664833333,173097,0.0824213140833333,957617,0.455780021083333
2020-05-24,1078468,0.504551906125,175900,0.0838535665416667,878271,0.411594527208333
2020-05-25,986311,0.476049787833333,181828,0.087576927625,900565,0.4363732845
2020-05-26,943470,0.461836020416667,200750,0.0989801770416667,898891,0.439183802666667
2020-05-27,984918,0.494681304208333,148590,0.0757167474166667,848085,0.429601948291667
2020-05-28,1122022,0.521981087458333,163602,0.0763046897916667,862335,0.401714222708333
2020-05-29,1241142,0.56000330525,144482,0.065531948375,825965,0.37446474625
2020-05-30,1264988,0.604350333458333,130850,0.0626360995416667,694736,0.333013567083333
2020-05-31,1320520,0.609792012791667,124468,0.0578003235416667,718878,0.332407663833333
2020-06-01,1129221,0.568677319166667,119633,0.0604276355,738845,0.37089504525
2020-06-02,993241,0.512816051791667,120688,0.0619981783333333,825337,0.425185769791667
2020-06-03,1052427,0.546613716166667,138224,0.0723014054583333,735290,0.381084878375
2020-06-04,1045597,0.550742332583333,129475,0.06754939725,733583,0.381708270125
2020-06-05,776734,0.534414477625,114832,0.0779504899583333,565347,0.387635032583333
2020-06-06,1299103,0.489688474916667,233194,0.0886944537916667,1113715,0.42161707125
2020-06-07,1387285,0.533472080375,215192,0.08207503775,998665,0.384452881791667
2020-06-08,1176269,0.464081470958333,248729,0.096623458375,1120393,0.439295070625
2020-06-09,1204569,0.446635546,262520,0.095016497625,1244284,0.458347956208333
2020-06-10,1336280,0.458818649458333,291954,0.0991699986666667,1296358,0.442011351875
2020-06-11,1321069,0.437524664,289951,0.095861438375,1405301,0.466613897666667
2020-06-12,1363457,0.454616811375,297217,0.0989639361666667,1336712,0.446419252291667
2020-06-13,1402478,0.485367694875,286161,0.098640089625,1200707,0.415992215375
2020-06-14,1450128,0.517297250416667,273345,0.098002595,1068296,0.384700154375
2020-06-15,1619914,0.502106035916667,274508,0.0850560569166667,1328774,0.412837907166667
2020-06-16,1437913,0.459014933708333,257735,0.0813698202083333,1437420,0.459615246125
2020-06-17,1443361,0.462769984833333,253791,0.0807006936666667,1421201,0.456529321333333
2020-06-18,1312861,0.434301126916667,317809,0.105600349083333,1395896,0.460098524125
2020-06-19,1220364,0.393748356833333,312573,0.100667281166667,1556689,0.505584361916667
2020-06-20,1246485,0.420790657708333,286907,0.0953817729166667,1432476,0.483827569416667
2020-06-21,1460745,0.504070911,260257,0.0907736825833333,1160605,0.405155406458333
2020-06-22,1444967,0.468152241541667,284394,0.0939224473333333,1360929,0.437925311041667
2020-06-23,1580404,0.463926800708333,292901,0.0856263412083333,1522507,0.450446858125
2020-06-24,1501190,0.440636743416667,267041,0.0786292815,1630577,0.480733975125
2020-06-25,1716072,0.480539629166667,288254,0.0816364656666667,1559078,0.437823905125
2020-06-26,1858199,0.490574673166667,320788,0.0847479949583333,1601400,0.424677331791667
2020-06-27,1628246,0.473899912375,309405,0.0892907390833333,1499337,0.436809348625
2020-06-28,1628051,0.479261848083333,285082,0.0848915344583333,1487961,0.435846617625
2020-06-29,1635983,0.47332379825,278691,0.0798986400416667,1544968,0.4467775615
2020-06-30,1842600,0.489567009666667,291377,0.077565019625,1618341,0.432867970833333
2020-07-01,1799952,0.478112249291667,380382,0.102173609125,1572422,0.419714141541667
2020-07-02,1697218,0.471158560708333,323262,0.0891195887916667,1583988,0.4397218505
2020-07-03,1682233,0.46199718075,381075,0.104124656083333,1569324,0.433878163083333
2020-07-04,1636422,0.472370742833333,404988,0.116710014666667,1416034,0.410919242666667
2020-07-05,1653266,0.484968791041667,308958,0.0927365360416667,1428911,0.422294672958333
2020-07-06,1808494,0.484595229916667,284400,0.07720735475,1624526,0.438197415208333
2020-07-07,1618622,0.460727715,260154,0.0742808172083333,1642469,0.464991467791667
2020-07-08,1641766,0.45233808475,289676,0.0799282774583333,1691603,0.467733637833333
2020-07-09,1555942,0.450746999666667,283799,0.0820929608333333,1611279,0.467160039375
2020-07-10,1612422,0.495094759083333,289704,0.0873327140416667,1362093,0.417572526875
2020-07-11,1470493,0.463031955375,316961,0.100834066583333,1328274,0.436133978166667
2020-07-12,1285886,0.45188260275,317844,0.112593167708333,1241469,0.435524229416667
2020-07-13,1841312,0.458565732166667,385187,0.098030670875,1764618,0.443403596916667
2020-07-14,1742244,0.468496832083333,287513,0.0773976976666667,1691137,0.45410547025
2020-07-15,1996229,0.499907867083333,290065,0.0735343757916667,1697182,0.42655775725
2020-07-16,1977195,0.510158922166667,244262,0.063628116,1650048,0.426212961833333
2020-07-17,1923943,0.500872709208333,263648,0.0689388641666667,1649018,0.430188426541667
2020-07-18,1621635,0.467100915541667,305081,0.0889493645,1529013,0.443949719916667
2020-07-19,1682374,0.481884702458333,324834,0.0938591754583333,1475774,0.424256122166667
2020-07-20,1530898,0.4724728095,288230,0.090029904375,1420748,0.437497286
2020-07-21,1555751,0.459969036541667,313095,0.0934277214583333,1519707,0.446603241958333
2020-07-22,1484759,0.43619803075,327083,0.0971468807916667,1572444,0.466655088541667
2020-07-23,1490028,0.456195621375,314388,0.0969642160416667,1450689,0.446840162458333
2020-07-24,1418079,0.45488593875,290388,0.0935440185,1411837,0.451570042625
2020-07-25,1404785,0.448567701,258984,0.0820917135833333,1475931,0.469340585458333
2020-07-26,1417240,0.476398020583333,245698,0.082567353625,1307287,0.44103462575
2020-07-27,1460828,0.441167151375,308827,0.0933545408333333,1535958,0.465478307791667
2020-07-28,1705072,0.459894231708333,277755,0.0756823032083333,1713376,0.464423465125
2020-07-29,1536426,0.42834850725,330152,0.091863166625,1711198,0.479788326041667
2020-07-30,1695378,0.472335720166667,296939,0.084076432375,1585219,0.4435878475
2020-07-31,1552115,0.44906103325,311090,0.0896085614583333,1590447,0.461330405333333
2020-08-01,1366555,0.448543468083333,305727,0.100737583166667,1365094,0.450718948541667
2020-08-02,1485374,0.456430721333333,275067,0.0851328605,1485085,0.458436418125
2020-08-03,1434976,0.463708516625,272010,0.0883595443333333,1385445,0.447931939
2020-08-04,1614891,0.479214271666667,279321,0.0838689005833333,1462115,0.436916827708333
2020-08-05,1309972,0.452782998916667,253278,0.0877060406666667,1323542,0.459510960416667
2020-08-06,1476609,0.478593759869565,243074,0.0784576375217391,1368328,0.442948602695652
2020-08-07,1425240,0.458677094708333,270831,0.0872646364166667,1401477,0.454058268791667
2020-08-08,1352948,0.48933091073913,279584,0.10093444826087,1134827,0.409734641043478
2020-08-09,1526275,0.496265093913043,251729,0.082859384173913,1298335,0.420875522
2020-08-10,1605333,0.464590253625,331673,0.098497921375,1495852,0.436911824916667
2020-08-11,1476775,0.445399841541667,324918,0.0973131589166667,1501225,0.457286999541667
2020-08-12,1225377,0.454692298333333,262741,0.0968195278333333,1217303,0.448488173791667
2020-08-13,1333123,0.446244433583333,269495,0.0910716,1367758,0.4626839665
2020-08-14,1310455,0.446601426869565,250359,0.0846508937391304,1370960,0.468747679434783
2020-08-15,1209551,0.44577149875,322091,0.118769548208333,1171076,0.435458952958333
2020-08-16,1247316,0.479616246125,234664,0.0896285924166667,1119212,0.430755161541667
2020-08-17,1225195,0.445893559125,251370,0.088908408,1283598,0.465198032875
2020-08-18,1340607,0.4542932395,311691,0.1055819175,1295826,0.440124842958333
2020-08-19,1278795,0.44501860575,327667,0.115036592,1256350,0.43994480225
2020-08-20,1356324,0.461820298583333,282167,0.0960945277916667,1294276,0.442085173541667
2020-08-21,1460191,0.454922179416667,280557,0.0869953016666667,1460487,0.458082518958333
2020-08-22,1423859,0.472039120333333,260225,0.0870444805416667,1332624,0.440916398916667
2020-08-23,1634650,0.483073563541667,281826,0.0834478407916667,1459908,0.4334785955
2020-08-24,1483546,0.461100709458333,292210,0.0910191010416667,1440385,0.447880189416667
2020-08-25,1497680,0.453838542958333,315643,0.095795981875,1481534,0.450365475208333
2020-08-26,1525185,0.465124479791667,236324,0.0720677680416667,1518376,0.462807752083333
2020-08-27,1520186,0.472845818708333,247058,0.0772069635416667,1443471,0.449947217416667
2020-08-28,1599860,0.482183885833333,265473,0.08068197275,1443447,0.437134141458333
2020-08-29,1266156,0.475577925833333,260191,0.097795986,1131199,0.426626088041667
2020-08-30,1370695,0.47908862125,282363,0.100062163333333,1206342,0.4208492155
2020-08-31,1501691,0.491950609416667,243374,0.080746901375,1295163,0.427302489208333
2020-09-01,1504731,0.494508886541667,297808,0.0988479899166667,1223184,0.4066431235
2020-09-02,1483224,0.480253371833333,280002,0.0908719382083333,1302241,0.428874690125
2020-09-03,1544659,0.48586475175,316243,0.100633496,1312686,0.4135017525
2020-09-04,1279959,0.457946156791667,281473,0.101073012708333,1229972,0.440980830416667
2020-09-05,1123496,0.457158032583333,265576,0.10871223275,1066470,0.434129734625
